interaction,direction,correspondent_id,datetime,call_duration,antenna_id
text,in,2f8bb4a8c03bbfa2953c0bff000f44cdc8edc5de,2016-07-6 16:33:21,,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-6 17:04:25,107,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-6 17:14:33,335,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-6 17:29:09,48,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-6 17:33:53,54,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-6 17:45:18,45,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-6 18:26:29,74,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-6 18:58:00,42,
call,in,e849211f63f429f02c9852d61c5ce2742b2ca727,2016-07-7 10:52:38,353,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-7 14:13:59,126,
call,out,9ecc8ae8a66129bccb0010a73c0d71c2306c840d,2016-07-7 16:13:26,684,
call,in,4b367c83a1d02b8c037ba7c10d7a020d23fb4056,2016-07-7 16:25:26,756,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-7 18:01:43,101,
call,out,9bde1685caa7869497476d848c4a425b5fcca243,2016-07-7 18:43:30,313,
call,out,9ad2eedd0839c8ff84dde3775c83e2e63df074f8,2016-07-8 06:35:35,,
call,out,9ad2eedd0839c8ff84dde3775c83e2e63df074f8,2016-07-8 06:40:14,178,
call,in,8b9a8330ae7a186b1e3a37ec0b52b523ea4f6f8e,2016-07-8 09:39:08,,
call,out,9ad2eedd0839c8ff84dde3775c83e2e63df074f8,2016-07-8 10:56:59,,
call,out,9ad2eedd0839c8ff84dde3775c83e2e63df074f8,2016-07-8 12:58:46,,
call,out,ef4a357dc5bba3fd8819eb6b12e6ee38d2c9bfbd,2016-07-8 13:08:11,3,
call,in,9ad2eedd0839c8ff84dde3775c83e2e63df074f8,2016-07-8 13:10:18,186,
text,in,9f50e7a7af1bbdaa854a8ddd2a4909ae9d716d99,2016-07-8 14:56:02,,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-8 15:19:37,286,
call,in,75f08564d5409b72a792f29ae75b255cf4525085,2016-07-8 16:10:58,503,
text,in,483718c8b2da623ea73d945ca15c264bc698d8c0,2016-07-8 16:27:55,,
text,out,483718c8b2da623ea73d945ca15c264bc698d8c0,2016-07-8 16:33:29,,
text,out,483718c8b2da623ea73d945ca15c264bc698d8c0,2016-07-8 16:34:57,,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-8 17:19:13,,
text,in,483718c8b2da623ea73d945ca15c264bc698d8c0,2016-07-8 17:39:30,,
text,out,483718c8b2da623ea73d945ca15c264bc698d8c0,2016-07-8 19:22:23,,
text,in,483718c8b2da623ea73d945ca15c264bc698d8c0,2016-07-8 19:23:16,,
text,in,dc8d448a8ee586f76c60ee7c7d91d4a43c447de8,2016-07-8 19:29:41,,
call,out,e470301bc820c0f93a393806a4fccbfc953a2022,2016-07-9 10:34:43,2,
call,out,5bb36e04c21908a54989992e7ebbcb5043f93b48,2016-07-9 10:53:38,,
text,in,5bb36e04c21908a54989992e7ebbcb5043f93b48,2016-07-9 11:55:27,,
call,out,5bb36e04c21908a54989992e7ebbcb5043f93b48,2016-07-9 11:56:24,55,
call,in,4833a9258f2840dccba7469bfcce3b04c9fc2c10,2016-07-9 12:37:06,16,
text,in,2f8bb4a8c03bbfa2953c0bff000f44cdc8edc5de,2016-07-9 12:42:01,,
text,in,2f8bb4a8c03bbfa2953c0bff000f44cdc8edc5de,2016-07-9 17:19:36,,
text,in,2f8bb4a8c03bbfa2953c0bff000f44cdc8edc5de,2016-07-9 17:37:35,,
call,in,658621e8dbada6ddcc14df65902a8dde1b79175b,2016-07-11 13:09:54,336,
call,in,52a370ec80794ad773128f13055245a7d53f4411,2016-07-11 15:38:35,114,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-11 17:08:57,,
text,in,2f8bb4a8c03bbfa2953c0bff000f44cdc8edc5de,2016-07-11 17:16:33,,
call,in,e3bad1630efbed03c9618cda64c3243f51a03f7d,2016-07-12 10:59:37,88,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-12 12:03:11,,
text,in,7b3edd963d68e6d370712d649f24ae2516cd558b,2016-07-12 13:00:32,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-12 13:18:20,3,
call,in,d3a078b9ce882747827ad9d17762433dc3f3a2ce,2016-07-12 13:43:46,219,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-12 15:47:53,,
call,out,d09c975bf1fcf53902f46f551c548ac81a3b3922,2016-07-12 16:03:31,33,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-12 17:37:46,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-07-12 17:40:18,,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-12 17:41:28,200,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-07-12 17:45:07,60,
call,out,9eae46384f49afb08a74b4dc4d9263ee6e600f78,2016-07-13 08:45:30,662,
