datetime,interaction,direction,correspondent_id,call_duration
2011-02-28 11:41:27,call,out,d6940ae51321eb2f39071e056fb9e93091ffdd20,45
2011-02-28 15:51:40,call,out,fa10-01-01,33
2011-02-28 17:16:22,call,in,af730377f939b95dc9db2010eef692411e58653b,73
2011-02-28 17:00:34,call,out,af730377f939b95dc9db2010eef692411e58653b,37
2011-02-28 18:20:53,call,in,175e1cfcbf9f790c2ae9fd29bf09b341225e2827,0
2011-02-28 22:16:02,call,out,175e1cfcbf9f790c2ae9fd29bf09b341225e2827,0
2011-02-28 22:15:20,call,out,fa10-01-01,30
2011-02-28 22:27:26,call,out,fa10-01-02,931
2011-03-01 09:45:32,call,out,fa10-01-02,2
2011-03-01 10:17:55,call,in,64f0629df65bff4f4d71660580427a7dd6996746,41
2011-03-01 10:08:02,call,out,fa10-01-02,11
2011-03-01 10:06:48,call,out,fa10-01-02,47
2011-03-01 10:00:28,call,out,fa10-01-02,74
2011-03-01 12:23:06,call,out,fa10-01-01,38
2011-03-01 12:41:23,call,out,6a32d05885738083ae9620058ebdaacd60650b0c,0
2011-03-01 12:40:46,call,out,6a32d05885738083ae9620058ebdaacd60650b0c,0
2011-03-01 12:39:16,call,out,729e192895a72ed8b1ea05d4167ebb47d65db97f,32
2011-03-01 14:33:32,call,out,729e192895a72ed8b1ea05d4167ebb47d65db97f,12
2011-03-01 14:32:21,call,out,fa10-01-01,28
2011-03-01 14:31:25,call,out,c6382203ece646d95702f254050be0c8506090ae,7
2011-03-01 14:48:43,call,out,fa10-01-02,2
2011-03-01 14:34:36,call,out,fa10-01-02,29
2011-03-01 16:08:41,call,out,fa10-01-02,38
2011-03-01 16:20:42,call,out,729e192895a72ed8b1ea05d4167ebb47d65db97f,171
2011-03-01 16:19:20,call,out,c6382203ece646d95702f254050be0c8506090ae,2
2011-03-01 17:07:37,call,out,fa10-01-02,98
2011-03-01 17:01:17,call,out,593f044e65750585eccee8c5f39858b4171a7556,20
2011-03-01 17:12:07,call,out,5b7e71aaa7bb951ad7ac20b474c8361a3017b399,19
2011-03-01 17:54:04,call,out,593f044e65750585eccee8c5f39858b4171a7556,72
2011-03-01 17:22:59,call,out,6427e19bb32d0d09712a8bafec1c7398b7e3bf20,73
2011-03-01 18:47:43,call,out,d4774599bd274d6d8c73ea9e22d5d1907cc2e491,0
2011-03-01 18:44:51,call,out,d4774599bd274d6d8c73ea9e22d5d1907cc2e491,29
2011-03-01 18:42:12,call,out,fa10-01-01,79
2011-03-01 19:08:43,call,out,fa10-01-02,30
2011-03-01 19:37:53,call,out,fa10-01-01,201
2011-03-02 06:40:04,call,out,d6940ae51321eb2f39071e056fb9e93091ffdd20,3
2011-03-02 16:01:32,call,out,fa10-01-01,17
2011-03-02 17:13:21,call,out,593f044e65750585eccee8c5f39858b4171a7556,8
2011-03-02 17:09:47,call,out,729e192895a72ed8b1ea05d4167ebb47d65db97f,21
2011-03-02 17:32:02,call,out,593f044e65750585eccee8c5f39858b4171a7556,40
2011-03-02 17:28:24,call,out,fa10-01-02,40
2011-03-02 17:21:15,call,out,dee447bb27959e97e5200a9373eb3579d62eb790,249
2011-03-02 17:50:45,call,out,fa10-01-02,0
2011-03-02 20:38:24,call,out,c6382203ece646d95702f254050be0c8506090ae,3
2011-03-02 20:34:19,call,out,6e1738372c49030acb3440f88957b5dadd7666a5,7
2011-03-02 20:33:30,call,out,6e1738372c49030acb3440f88957b5dadd7666a5,29
2011-03-03 10:04:36,call,out,dee447bb27959e97e5200a9373eb3579d62eb790,431
2011-03-03 08:44:50,call,in,fa10-01-02,362
2011-03-03 13:00:38,call,out,dee447bb27959e97e5200a9373eb3579d62eb790,0
2011-03-03 13:00:03,call,out,dee447bb27959e97e5200a9373eb3579d62eb790,0
2011-03-03 16:08:43,call,out,7c34a592217fa787591ac26db5e6041cbf9df17b,0
2011-03-03 16:33:08,call,out,7c34a592217fa787591ac26db5e6041cbf9df17b,48
2011-03-03 16:55:34,call,out,65ecf83ffbbca0605493adb9ba2538c72a75dd44,68
2011-03-03 16:55:07,call,out,65ecf83ffbbca0605493adb9ba2538c72a75dd44,0
2011-03-03 16:54:37,call,out,65ecf83ffbbca0605493adb9ba2538c72a75dd44,0
2011-03-03 17:18:14,call,out,dee447bb27959e97e5200a9373eb3579d62eb790,162
2011-03-03 17:17:57,call,out,dee447bb27959e97e5200a9373eb3579d62eb790,0
2011-03-03 17:17:29,call,out,dee447bb27959e97e5200a9373eb3579d62eb790,0
2011-03-03 18:00:35,call,in,ead1de0e5518ef559314b124d1bfe0bd8cec0b4a,66
2011-03-04 12:26:16,call,out,fa10-01-02,393
2011-03-04 16:16:57,call,out,7bcb87774bb1a0ee9bc10c32bf944b9219c7676a,133
2011-03-04 16:15:49,call,out,e4e823e383ddf57e3c15d3a60a96a649083b87b4,22
2011-03-04 16:48:00,call,in,fa10-01-02,10
2011-03-04 17:21:22,call,out,4b8dc966723de6cec6c7565ed778f47964605621,40
2011-03-04 18:15:42,call,out,fa10-01-01,64
2011-03-04 18:28:04,call,out,fa10-01-02,30
2011-03-04 21:24:28,call,out,396e0a2fc981ecc920fcde5e0f6bfbcb04d6813a,40
2011-03-04 22:18:47,call,out,ead1de0e5518ef559314b124d1bfe0bd8cec0b4a,0
